,feature,importance_gain,importance_split,trn_score
0,age,5170.194953918457,739,0.8952150795307796
1,job_year,3939.3321480751038,542,0.8952150795307796
2,frs_agn_dt_cnt,2457.291281223297,331,0.8952150795307796
3,fin_rsk_ases_grd_cd,1016.2340812683105,131,0.8952150795307796
4,confirm_rsk_ases_lvl_typ_cd,1728.7581977844238,213,0.8952150795307796
5,cust_inv_rsk_endu_lvl_cd,191.22096157073975,25,0.8952150795307796
6,tot_ast_lvl_cd,1366.2444076538086,193,0.8952150795307796
7,pot_ast_lvl_cd,3192.169909477234,324,0.8952150795307796
8,l12mon_buy_fin_mng_whl_tms,109.04065799713135,16,0.8952150795307796
9,l12_mon_fnd_buy_whl_tms,348.7334108352661,47,0.8952150795307796
10,l12_mon_insu_buy_whl_tms,0.0,0,0.8952150795307796
11,l12_mon_gld_buy_whl_tms,74.03249788284302,2,0.8952150795307796
12,ovd_30d_loan_tot_cnt,29.79359006881714,4,0.8952150795307796
13,his_lng_ovd_day,596.9318370819092,54,0.8952150795307796
14,hld_crd_card_grd_cd,5087.583361148834,406,0.8952150795307796
15,cur_debit_cnt,619.4759411811829,79,0.8952150795307796
16,cur_credit_cnt,1169.451777458191,151,0.8952150795307796
17,cur_debit_min_opn_dt_cnt,9185.91707277298,1098,0.8952150795307796
18,cur_credit_min_opn_dt_cnt,11289.830306529999,1212,0.8952150795307796
19,cur_debit_crd_lvl,148.4244999885559,23,0.8952150795307796
20,l12mon_buy_sum,0.0,0,0.8952150795307796
21,l12mon_buy_fin_mng_whl_tms_ratio,76.04407930374146,11,0.8952150795307796
22,l12_mon_fnd_buy_whl_tms_ratio,131.30561923980713,18,0.8952150795307796
23,l12_mon_gld_buy_whl_tms_ratio,0.0,0,0.8952150795307796
24,cur_debit_rate,7624.567724943161,1002,0.8952150795307796
25,cur_credit_rate,11577.02379322052,1404,0.8952150795307796
26,creditrate1,15379.459837436676,1266,0.8952150795307796
27,creditrate2,10455.13232755661,1239,0.8952150795307796
28,creditrate3,12096.187333106995,553,0.8952150795307796
29,0,39352.370638370514,810,0.8952150795307796
30,1,40511.157081604004,654,0.8952150795307796
31,2,6171.117997646332,693,0.8952150795307796
32,3,6908.964227676392,565,0.8952150795307796
33,4,4893.589479446411,643,0.8952150795307796
34,5,7783.670449733734,679,0.8952150795307796
35,A_max,1268.6316475868225,165,0.8952150795307796
36,A_min,1024.3948049545288,119,0.8952150795307796
37,A_median,2187.6318311691284,254,0.8952150795307796
38,A_std,1063.5583114624023,124,0.8952150795307796
39,A_mean,2422.786072731018,266,0.8952150795307796
40,A_sum,1821.5624599456787,222,0.8952150795307796
41,B_max,23668.422517299652,840,0.8952150795307796
42,B_min,8689.33658361435,611,0.8952150795307796
43,B_median,4675.737193584442,530,0.8952150795307796
44,B_std,5104.9832763671875,501,0.8952150795307796
45,B_mean,11304.8980178833,796,0.8952150795307796
46,B_sum,5981.331133365631,554,0.8952150795307796
47,C_max,133.68567180633545,19,0.8952150795307796
48,C_min,66.81809091567993,10,0.8952150795307796
49,C_median,233.5737590789795,29,0.8952150795307796
50,C_std,87.0197901725769,12,0.8952150795307796
51,C_mean,100.8491997718811,16,0.8952150795307796
52,C_sum,174.2100510597229,23,0.8952150795307796
53,dat1_count,1215.1319222450256,157,0.8952150795307796
54,dat1_nunique,281.5984673500061,25,0.8952150795307796
55,dat1_mean,6321.102903842926,456,0.8952150795307796
56,dat1_modev,1213.2673344612122,164,0.8952150795307796
57,dat3_nunique,262.25010871887207,29,0.8952150795307796
58,dat3_mode,538.4241499900818,42,0.8952150795307796
59,dat3_modev,1376.4219007492065,181,0.8952150795307796
60,trx1_nunique,246.3852014541626,24,0.8952150795307796
61,trx1_mode,680.6005001068115,64,0.8952150795307796
62,trx1_modev,1567.4357559680939,200,0.8952150795307796
63,trx2_nunique,1155.1873869895935,152,0.8952150795307796
64,trx2_mode,9904.461649894714,456,0.8952150795307796
65,trx2_modev,1426.385078907013,187,0.8952150795307796
66,cny_trx_amt_min,2898.842846393585,346,0.8952150795307796
67,cny_trx_amt_max,7505.578939437866,435,0.8952150795307796
68,cny_trx_amt_sum,5194.361030101776,597,0.8952150795307796
69,cny_trx_amt_positive_nunique,1921.2199087142944,229,0.8952150795307796
70,cny_trx_amt_positive_min,6893.454265594482,734,0.8952150795307796
71,cny_trx_amt_positive_mean,12702.34256696701,716,0.8952150795307796
72,cny_trx_amt_positive_median,10159.473892688751,906,0.8952150795307796
73,cny_trx_amt_positive_std,9749.352999448776,951,0.8952150795307796
74,cny_trx_amt_positive_sum,11127.33110666275,609,0.8952150795307796
75,cny_trx_amt_negative_nunique,2163.8456625938416,290,0.8952150795307796
76,cny_trx_amt_negative_max,7612.982657909393,801,0.8952150795307796
77,cny_trx_amt_negative_mean,5811.317338943481,571,0.8952150795307796
78,cny_trx_amt_negative_median,5390.241720676422,634,0.8952150795307796
79,cny_trx_amt_negative_std,4634.303104877472,537,0.8952150795307796
80,cny_trx_amt_negative_sum,4892.235476493835,558,0.8952150795307796
81,week_std2,11254.561363220215,1104,0.8952150795307796
82,week_nunique2,1286.9862408638,155,0.8952150795307796
83,week_mode2,2680.2630519866943,336,0.8952150795307796
84,week_median2,8920.448062419891,372,0.8952150795307796
85,week_mean2,32537.009962320328,1087,0.8952150795307796
86,week_mode2v,1019.9413795471191,132,0.8952150795307796
87,week_kurl2,4379.771443367004,581,0.8952150795307796
88,week_mm2,1477.7120471000671,135,0.8952150795307796
89,weekday_nunique2,857.3783326148987,106,0.8952150795307796
